unidade,uf,cidade,nome,ativa
4ST,SC,PALHOCA-SC,4 ESTACOES,N
ACJ,SE,ARACAJU-SE,LOG SERVICOS E,N
AGO,GO,APARECIDA DE GOIANIA,DIALOGO APARECI,S
AGU,RS,CARAZINHO-RS,AGUSTINHO OSMAR,N
AJU,SE,ARACAJU-SE,DISTRIBUIDORA S,S
ALA,AL,MACEIO-AL,DIALOGO LOGISTI,N
ALX,SP,JUNDIAI-SP,ALMOXARIFADO DL,S
AME,SP,AMERICANA-SP,NOVA ESTRUTURA,N
AMZ,SP,JUNDIAI-SP,DLG JUNDIAI AMA,N
ANA,GO,ANAPOLIS-GO,DIALOGO ANALPOL,S
ANL,GO,ANAPOLIS-GO,DIALOGO ANAPOLI,S
ANP,GO,ANAPOLIS-GO,SEGURANCA PATRI,S
APG,GO,GOIANIA-GO,CENTRO OESTE CA,N
AQA,SP,ARARAQUARA-SP,COMERCIAL ANDRA,N
ARA,SP,ARACATUBA-SP,K D F DISTRIBUI,N
ARC,ES,VITORIA-ES,CP DISTRIBUICAO,S
ARP,AL,ARAPIRACA-AL,LOG SERVICOS E,S
ARU,SP,ARUJA-SP,LOJAS RENER S.A,N
BA2,BA,SIMOES FILHO-BA,DIALOGO SALVADO,N
BAE,RS,BAGE-RS,PEREIRA LOGISTI,S
BAG,RS,BAGE-RS,MODO LOGISTICA,N
BAH,BA,SIMOES FILHO-BA,DIALOGO LOGISTI,N
BAL,SC,BALNEARIO CAMBORIU-S,ESPINDOLA LOGIS,N
BAN,RJ,RIO DE JANEIRO-RJ,WC LOG,S
BAT,SP,BARRETOS-SP,ABDELNUR FRANCI,N
BAU,SP,BAURU-SP,BEX EXPRESS,N
BCU,SC,ITAJAI-SC,FALCON EXPRESS,N
BEL,PA,BELEM-PA,NOVA NORTE BELE,N
BGE,RS,BAGE-RS,SERGIO OLIVEIRA,N
BGP,SP,BRAGANCA PAULISTA-SP,CHT LOGISTICA T,S
BH1,MG,BELO HORIZONTE-MG,DIRECT DELIVERY,N
BH2,MG,CONTAGEM-MG,DIALOGO PROPRIA,N
